Date,Open,High,Low,Close,Adj Close,Volume
2017-07-13,10.970000,11.265000,10.970000,11.265000,11.265000,12516353
2017-07-14,11.280000,11.325000,11.015000,11.130000,11.130000,11206579
2017-07-17,11.100000,11.180000,11.005000,11.045000,11.045000,7544329
2017-07-18,11.010000,11.150000,10.765000,10.835000,10.835000,13344432
2017-07-19,10.710000,10.775000,10.465000,10.530000,10.530000,17228721
2017-07-20,10.560000,10.765000,10.455000,10.555000,10.555000,12529700
2017-07-21,10.520000,10.525000,10.220000,10.330000,10.330000,13612805
2017-07-24,10.280000,10.580000,10.150000,10.555000,10.555000,10221373
2017-07-25,10.620000,10.860000,10.605000,10.820000,10.820000,9878039
2017-07-26,10.840000,11.145000,10.795000,11.115000,11.115000,12271854
2017-07-27,11.070000,11.210000,11.020000,11.135000,11.135000,8742123
2017-07-28,11.060000,11.170000,11.040000,11.135000,11.135000,7481666
2017-07-31,11.175000,11.240000,11.030000,11.080000,11.080000,7719361
2017-08-01,11.100000,11.210000,11.035000,11.210000,11.210000,7859282
2017-08-02,10.840000,11.190000,10.770000,11.020000,11.020000,11214696
2017-08-03,10.980000,11.245000,10.920000,11.245000,11.245000,9601866
2017-08-04,11.250000,11.635000,11.180000,11.635000,11.635000,13294233
2017-08-07,11.675000,11.730000,11.605000,11.670000,11.670000,6963224
2017-08-08,11.650000,11.695000,11.515000,11.595000,11.595000,5510001
2017-08-09,11.445000,11.480000,11.075000,11.115000,11.115000,11850799
2017-08-10,11.100000,11.150000,10.900000,10.925000,10.925000,9515947
2017-08-11,10.820000,10.890000,10.615000,10.750000,10.750000,10542660
2017-08-14,10.945000,11.155000,10.940000,11.120000,11.120000,9444607
2017-08-15,11.200000,11.250000,11.045000,11.175000,11.175000,6195935
2017-08-16,11.225000,11.290000,11.170000,11.200000,11.200000,6060747
2017-08-17,11.130000,11.180000,10.870000,10.880000,10.880000,9482442
2017-08-18,10.750000,10.935000,10.730000,10.935000,10.935000,12343140
2017-08-21,10.880000,10.930000,10.755000,10.765000,10.765000,6270849
2017-08-22,10.900000,10.920000,10.730000,10.745000,10.745000,6566237
2017-08-23,10.750000,10.855000,10.630000,10.690000,10.690000,6820302
2017-08-24,10.730000,10.760000,10.650000,10.650000,10.650000,5923694
2017-08-25,10.650000,10.750000,10.610000,10.610000,10.610000,4921157
2017-08-28,10.575000,10.630000,10.475000,10.575000,10.575000,3337285
2017-08-29,10.435000,10.475000,10.210000,10.230000,10.230000,11401840
2017-08-30,10.450000,10.505000,10.270000,10.325000,10.325000,6861303
2017-08-31,10.465000,10.505000,10.380000,10.440000,10.440000,9832099
2017-09-01,10.520000,10.540000,10.355000,10.465000,10.465000,6394323
2017-09-04,10.350000,10.435000,10.350000,10.380000,10.380000,4201773
2017-09-05,10.390000,10.445000,10.105000,10.105000,10.105000,7403640
2017-09-06,10.060000,10.235000,10.020000,10.190000,10.190000,8058856
2017-09-07,10.295000,10.295000,10.010000,10.025000,10.025000,11210053
2017-09-08,9.950000,10.225000,9.894000,10.170000,10.170000,9544295
2017-09-11,10.285000,10.500000,10.280000,10.500000,10.500000,9477936
2017-09-12,10.600000,10.845000,10.600000,10.805000,10.805000,11548967
2017-09-13,10.765000,10.890000,10.735000,10.770000,10.770000,6642858
2017-09-14,10.750000,10.875000,10.685000,10.780000,10.780000,8524127
2017-09-15,10.740000,10.825000,10.640000,10.690000,10.690000,17616342
2017-09-18,10.810000,10.845000,10.670000,10.690000,10.690000,7097158
2017-09-19,10.690000,10.745000,10.555000,10.580000,10.580000,6281002
2017-09-20,10.550000,10.980000,10.375000,10.835000,10.835000,17787280
2017-09-21,11.040000,11.405000,11.030000,11.210000,11.210000,23859982
2017-09-22,11.165000,11.310000,11.110000,11.230000,11.230000,9484840
2017-09-25,11.170000,11.215000,10.985000,11.030000,11.030000,13370643
2017-09-26,11.000000,11.190000,10.990000,11.130000,11.130000,9451866
2017-09-27,11.190000,11.500000,11.180000,11.455000,11.455000,11497500
2017-09-28,11.550000,11.695000,11.335000,11.340000,11.340000,11409697
2017-09-29,11.295000,11.550000,11.235000,11.510000,11.510000,8181171
2017-10-02,11.560000,11.565000,11.360000,11.450000,11.450000,7010470
2017-10-03,11.450000,11.450000,11.450000,11.450000,11.450000,0
2017-10-04,11.500000,11.530000,11.215000,11.385000,11.385000,9367335
2017-10-05,11.325000,11.715000,11.300000,11.640000,11.640000,10788396
2017-10-06,11.670000,11.680000,11.460000,11.575000,11.575000,8492257
2017-10-09,11.650000,11.750000,11.530000,11.620000,11.620000,6688544
2017-10-10,11.600000,11.690000,11.505000,11.575000,11.575000,6482539
2017-10-11,11.650000,11.700000,11.565000,11.700000,11.700000,9345536
2017-10-12,11.695000,11.765000,11.625000,11.700000,11.700000,8345500
2017-10-13,11.680000,11.825000,11.635000,11.695000,11.695000,9229092
2017-10-16,11.705000,11.820000,11.645000,11.780000,11.780000,6066518
